word,frequency
document,83
afford,83
prominent,83
saturday,83
victims,83
series,83
celebrate,83
door,83
send,83
treasury,83
strike,83
canada,82
evette,82
70,82
piece,82
expressed,82
scott,82
neighbors,82
drug,82
quarter,82
rising,82
army,82
alongside,82
beginning,82
claimed,82
waiting,82
alan,82
closing,82
500,82
tunnel,82
keilar,81
cross,81
camera,81
wave,81
daily,81
appears,81
supposed,81
lack,81
neguse,81
representing,81
deleted,81
season,81
transit,81
requiring,81
bop,81
oct,81
paid,81
opponents,81
omar,81
decide,81
goal,80
corke,80
secure,80
cash,80
star,80
faced,80
positions,80
february,80
smith,80
efe,80
dozen,80
panel,80
hudson,79
2027,79
dignity,79
introduced,79
forced,79
relief,79
weapons,79
fisa,79
championship,79
northern,79
damage,79
wife,79
controversial,79
require,79
wait,79
contest,78
deadly,78
gotten,78
linked,78
confirmed,78
guarantees,78
eyes,78
tv,78
powers,78
mail,78
champion,78
female,78
argued,78
laura,78
cycle,78
fifth,78
funded,78
body,78
citizen,78
crowd,78
block,78
grateful,78
met,77
core,77
carry,77
ceasefire,77
strongly,77
memorandum,77
attacked,77
cain,77
unannounced,77
losing,77
murder,77
decade,77
fully,77
institutions,77
brown,77
appear,77
effective,76
light,76
modern,76
arrest,76
era,76
200,76
tough,76
alexandria,76
parents,76
hasn,76
nationwide,76
jerry,76
league,76
pushed,76
protecting,76
failure,76
directly,76
lines,76
reporters,76
reporter,75
05,75
church,75
hayes,75
represented,75
investigate,75
station,75
finding,75
favorite,75
crosstalk,75
favor,75
memorial,75
career,75
seek,75
extreme,75
placed,75
kristi,75
hey,75
critics,75
dc,75
serving,74
san,74
launched,74
cuts,74
swing,74
opposing,74
leverage,74
potentially,74
included,74
material,74
donations,74
peter,74
donors,74
france,73
shop,73
ordered,73
restore,73
reasons,73
caused,73
maga,73
contributed,73
stated,73
jonathan,73
daniel,73
emergency,73
deaths,73
neighborhood,73
inflation,72
filed,72
zionist,72
commentary,72
08,72
anchor,72
strength,72
worth,72
strategist,72
drones,72
elon,72
trial,72
television,72
planned,72
broader,72
anybody,72
loss,72
crash,72
couldn,72
emerged,72
24,72
benjamin,72
prosecutors,72
el,71
josh,71
giving,71
floor,71
dead,71
plaza,71
erin,71
arrests,71
notes,71
son,71
fiscal,71
commissioner,71
pergram,71
12th,71
division,71
promise,71
fired,70
management,70
offered,70
path,70
gubernatorial,70
younger,70
updated,70
considered,70
installed,70
rent,70
starting,70
estate,70
dr,70
coleman,70
il,70
hurt,70
leads,69
form,69
constitution,69
increasingly,69
contact,69
prisons,69
frankly,69
malliotakis,69
harrison,69
employees,69
quo,69
difference,69
effect,69
cause,69
granted,69
complaint,69
feels,69
reach,69
helping,69
moved,69
moore,69
starts,69
stronger,69
allegedly,69
2018,69
stock,69
supports,69
turning,69
sullivan,69
testing,69
adding,69
shooting,69
sell,69
map,68
investigating,68
chuck,68
ideas,68
behm,68
keith,68
highly,68
driving,68
assemblyman,68
benefits,68
impeachment,68
shape,68
ballots,68
rican,68
simple,68
youtube,68
false,68
contributor,68
rich,68
average,68
01,68
campaigning,68
inaudible,68
coverage,68
ukraine,68
